Artist ID,Artist name,Region,Track ID,Track name,Release date,Genre,Popularity,Explicit,Duration,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Valence
0MK8l3nURwwQIjafvXoJJt,ASIAN KUNG-FU GENERATION,Japan,4okjVUeiBOHmd0RdWNfxlE,Opera Glasses,2015-05,j-rock,14.0,False,284747,0.0166,0.511,0.963,0.00211,F#,0.0664,-2.242,Minor,0.0888,135.219,0.347
00DuPiLri3mNomvvM3nZvU,Ling tosite sigure,Japan,3vSV6ljhT4WUgDXUPxx4eX,Kankaku UFO,2006-01,j-rock,14.0,False,280267,0.0612,0.243,0.961,0.0105,G#,0.208,-3.671,Major,0.0862,100.257,0.245
00DuPiLri3mNomvvM3nZvU,Ling tosite sigure,Japan,1GSw5mLTI7YiXc3Z9AhgQl,CRAZY Kanjyou STYLE,2005-01,j-rock,15.0,False,300160,0.0198,0.351,0.912,0.00773,C#,0.0603,-3.482,Minor,0.123,123.827,0.46
6cutt8thPFUICMfxaYerWd,MY FIRST STORY,Japan,4XpQLcNHiDBfx4IfLSX5HP,The Storyteller,2017-07,j-rock,27.0,False,232933,0.00182,0.374,0.872,0.0,D,0.0968,-2.856,Major,0.0343,144.981,0.44
6cutt8thPFUICMfxaYerWd,MY FIRST STORY,Japan,1kWx9bzXhVKOc63PnPsI12,Still,2012-04,j-rock,21.0,False,280800,0.0519,0.448,0.879,1.16e-06,A#,0.188,-4.187,Major,0.064,174.978,0.228
0blbVefuxOGltDBa00dspv,LiSA,Japan,1JFr01G5TmTGkrYzPU3phF,Escape Game,2011-04,anime,16.0,False,230880,0.000147,0.68,0.802,0.0,B,0.0851,-4.859,Minor,0.0644,105.034,0.551
0blbVefuxOGltDBa00dspv,LiSA,Japan,2DKbW4za6OchQxFM5yvyJM,Kyomu,2015-09,anime,16.0,False,269027,0.0217,0.437,0.988,0.0,G,0.157,-3.263,Major,0.286,164.178,0.372
0blbVefuxOGltDBa00dspv,LiSA,Japan,4cXoTliOOgbpgUoW7PiA1n,Now and Future,2012-02,anime,17.0,False,260733,0.0013,0.545,0.925,0.0282,A#,0.0953,-2.558,Minor,0.0686,187.014,0.934
3PzqP5IkpLhlSdZLh7jwPn,WagakkiBand,Japan,2vUHmsOYoIi4PTGBD3zmPJ,Kishikaisei,2016-08,j-rock,10.0,False,250355,0.0323,0.561,0.982,0.000101,B,0.117,-2.688,Minor,0.0879,94.959,0.568
00DuPiLri3mNomvvM3nZvU,Ling tosite sigure,Japan,5DR9W7SvQeJKvLtEUazT6a,Who's WhoFO,2018-02,j-rock,16.0,False,297840,0.00121,0.476,0.879,0.000227,A,0.324,-3.951,Minor,0.0677,142.993,0.35
0bAsR2unSRpn6BQPEnNlZm,Aimer,Japan,1rKWyi67TbzcHHrsbENamE,Twinkle Twinkle Little Star Prologue,2012-10,anime,21.0,False,88347,0.803,0.471,0.0893,0.00029,G,0.0952,-16.002,Major,0.0407,66.964,0.147
3w2HqkKa6upwuXEULtGvnY,FLOW,Japan,1iTitVkTvepXc8wlYZXy4m,Joy to the World (feat. Kiba of Akiba),2016-02,anime,15.0,False,213133,8.27e-05,0.396,0.953,0.0,D,0.36,-5.01,Major,0.0896,152.128,0.629
